Player,Salary,Team,G,PTS,AST,TRB,STL,BLK,TOV,PF
Nikola Jokić,"$33,047,803",Denver Nuggets,55,24.6,10.0,11.7,1.3,0.7,3.6,2.6
Jaren Jackson Jr.,"$28,946,605",Memphis Grizzlies,44,16.7,0.8,6.6,1.1,3.3,1.5,3.4
De'Aaron Fox,"$30,351,780",Sacramento Kings,55,25.4,6.3,4.3,1.1,0.3,2.7,2.5
Kevin Durant,"$44,119,845",Phoenix Suns,1,23.0,2.0,6.0,0.0,2.0,2.0,0.0
Stephen Curry,"$48,070,014",Golden State Warriors,38,29.4,6.4,6.3,1.0,0.4,3.2,2.2
Luka Dončić,"$37,096,500",Dallas Mavericks,54,33.4,8.1,8.7,1.5,0.5,3.6,2.6
Rudy Gobert,"$38,172,414",Minnesota Timberwolves,52,13.4,0.9,11.5,0.8,1.3,1.8,3.0
Kawhi Leonard,"$42,492,492",Los Angeles Clippers,38,23.0,3.9,6.1,1.4,0.6,1.6,1.6
Russell Westbrook,"$47,063,478",Utah Jazz,,,,,,,,
CJ McCollum,"$33,333,333",New Orleans Pelicans,56,21.0,5.9,4.3,0.9,0.6,2.6,1.9
LeBron James,"$44,474,988",Los Angeles Lakers,47,29.5,6.9,8.4,0.9,0.6,3.1,1.7
Shai Gilgeous-Alexander,"$30,913,750",Oklahoma City Thunder,54,31.0,5.7,4.7,1.6,1.1,2.9,2.7
Damian Lillard,"$42,492,492",Portland Trail Blazers,49,32.3,7.1,4.4,0.9,0.3,3.2,1.9
Doug McDermott,"$13,750,000",San Antonio Spurs,55,9.8,1.4,2.1,0.2,0.1,0.9,1.8
John Wall,"$40,866,760",Houston Rockets,,,,,,,,
Giannis Antetokounmpo,"$42,492,492",Milwaukee Bucks,50,31.3,5.4,12.0,0.7,0.8,3.9,3.3
Jayson Tatum,"$30,351,780",Boston Celtics,59,30.3,4.7,8.7,1.0,0.8,3.0,2.1
Tobias Harris,"$37,633,050",Philadelphia 76ers,58,15.2,2.6,5.8,1.0,0.5,1.3,2.0
Donovan Mitchell,"$30,351,780",Cleveland Cavaliers,54,27.5,4.8,4.0,1.5,0.4,2.7,2.4
Jalen Brunson,"$27,733,332",New York Knicks,60,23.8,6.2,3.6,0.9,0.3,2.0,2.3
Ben Simmons,"$35,448,672",Brooklyn Nets,42,6.9,6.1,6.3,1.3,0.6,2.3,3.3
Jimmy Butler,"$37,653,300",Miami Heat,48,21.8,5.0,5.9,2.0,0.3,1.7,1.3
Trae Young,"$37,096,500",Atlanta Hawks,55,27.1,10.1,2.9,1.0,0.2,4.1,1.5
Pascal Siakam,"$35,448,672",Toronto Raptors,54,25.0,6.0,7.8,0.8,0.6,2.5,3.3
Bradley Beal,"$43,279,250",Washington Wizards,40,22.9,5.4,3.6,0.9,0.6,2.8,1.9
Zach LaVine,"$37,096,500",Chicago Bulls,59,24.3,3.9,4.7,0.9,0.2,2.6,2.2
Myles Turner,"$35,069,500",Indiana Pacers,54,18.1,1.4,7.9,0.6,2.3,1.7,3.4
Jonathan Isaac,"$17,400,000",Orlando Magic,11,5.0,0.5,4.0,1.3,0.4,0.4,0.5
Gordon Hayward,"$30,075,000",Charlotte Hornets,38,14.6,3.7,4.4,0.9,0.2,1.9,1.4
Bojan Bogdanović,"$19,550,000",Detroit Pistons,59,21.6,2.6,3.8,0.6,0.1,2.3,1.9
